Cites	Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC
6	S Lee, V Honavar	On Learning Causal Models from Relational Data.	2016	AAAI			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6379528230110155381	224	3/24/2017	Book chapter			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=200&pagesize=100&citation_for_view=GPqMVRkAAAAJ:MLfJN-KU85MC	0	0	3263	3270	6
3	ELM Yasser, M Abbas, Q Malluhi, V Honavar	FastRNABindR: Fast and Accurate Prediction of Protein-RNA Interface Residues	2016	PloS one			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12549719756280372911	274	3/24/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=200&pagesize=100&citation_for_view=GPqMVRkAAAAJ:DJbcl8HfkQkC	11	7	158445	-1	3
3	GR Santhanam, S Basu, V Honavar	Representing and Reasoning with Qualitative Preferences: Tools and Applications	2016	Synthesis Lectures on Artificial Intelligence and Machine Learning			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12242902930651037559	275	3/24/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=200&pagesize=100&citation_for_view=GPqMVRkAAAAJ:cWzG1nlazyYC	10	1	1	154	3
2	S Lee, V Honavar	A characterization of Markov equivalence classes of relational causal models under path semantics	2016	Proc. Conf. Uncertainty Artif. Intell.			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6483855539925782606	295	3/24/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=200&pagesize=100&citation_for_view=GPqMVRkAAAAJ:8xutWZnSdmoC	0	0	387	396	2
1	N Bui, J Yen, V Honavar	Temporal Causality Analysis of Sentiment Change in a Cancer Survivor Network	2016	IEEE Transactions on Computational Social Systems			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12545291820493000326	318	3/24/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=300&pagesize=100&citation_for_view=GPqMVRkAAAAJ:pAkWuXOU-OoC	3	2	75	87	1
1	LC Xue, JP Rodrigues, D Dobbs, V Honavar, AMJJ Bonvin	Template-based protein–protein docking exploiting pairwise interfacial residue restraints	2016	Briefings in bioinformatics, bbw			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12406715297537394604	319	3/24/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=300&pagesize=100&citation_for_view=GPqMVRkAAAAJ:KNjnJ3z-R6IC	27	0	0	0	1
0	Y El‐Manzalawy, EE Munoz, SE Lindner, V Honavar	PlasmoSEP: Predicting surface‐exposed proteins on the malaria parasite using semisupervised self‐training and expert‐annotated data	2016	Proteomics				353	3/24/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=300&pagesize=100&citation_for_view=GPqMVRkAAAAJ:cK4Rrx0J3m0C	16	23	2967	2976	0
0	VG Honavar, MD Hill, K Yelick	Accelerating Science: A Computing Research Agenda	2016	arXiv preprint arXiv:1604.				354	3/24/2017	Preprint			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=300&pagesize=100&citation_for_view=GPqMVRkAAAAJ:65Yg0jNCQDAC	2006	0	0	0	0
0	N Bui, T Le, V Honavar	Labeling Actors in Multi-view Social Networks by Integrating Information From Within and Across Multiple Views.	2016	IEEE Conference on Big Data				355	3/24/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=300&pagesize=100&citation_for_view=GPqMVRkAAAAJ:silx2ntsSuwC	0	0	0	0	0
0	D DOBBS, SE BRENNER, VG HONAVAR, RL JERNIGAN, ...	REGULATORY RNA	2016	Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing				356	3/24/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=300&pagesize=100&citation_for_view=GPqMVRkAAAAJ:SGW5VrABaM0C	21	0	429	429	0
