Cites	Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC
1	"CC Tsai, CH Chu"	A fuzzy multi-objective linear programming model for manufacturing cell formation	2006	Simulated Evolution and Learning			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15719743656972079546	130	3/9/2017	Book chapter			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&cstart=100&pagesize=100&citation_for_view=xdH7WU8AAAAJ:f2IySw72cVMC	0	0	377	383	1
1	"Q Gu, CH Chu, P Liu, S Zhu"	Slander-resistant forwarding isolation in ad hoc networks	2006	International Journal of Mobile Network Design and Innovation 1 (3-4)			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6145098204474102399	131	3/9/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&cstart=100&pagesize=100&citation_for_view=xdH7WU8AAAAJ:cFHS6HbyZ2cC	0	0	162	174	1
0	"T YANG, CH Chu"	Optimal topology design for wireless local area networks	2006	14th International Conference on Telecommunication Systems � Modeling and ...				150	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&cstart=100&pagesize=100&citation_for_view=xdH7WU8AAAAJ:vRqMK49ujn8C	0	0	0	0	0
0	"R Cole, CH Chu"	A survey of worm detection and defense	2006	International Conference on Information Warfare and Security (ICIW 2006)				151	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&cstart=100&pagesize=100&citation_for_view=xdH7WU8AAAAJ:l7t_Zn2s7bgC	0	0	0	0	0
0	"TY Leong, CH Chu"	A space-filling curve heuristic for wireless networks design	2006	Annual Meeting of Decision Sciences Institute				152	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&cstart=100&pagesize=100&citation_for_view=xdH7WU8AAAAJ:K3LRdlH-MEoC	0	0	0	0	0
78	"Y Chen, CH Chu, T Mullen, DM Pennock"	Information markets vs. opinion pools: An empirical comparison	2005	Proceedings of the 6th ACM conference on Electronic commerce			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8955646202973173537	11	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:UeHWp8X0CEIC	0	0	58	67	78
67	"Y Zhang, H Zha, CH Chu"	A time-series biclustering algorithm for revealing co-regulated genes	2005	IEEE International Conference on Information and Technology: Coding and ...			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6416763982420093021	18	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:J-pR_7NvFogC	0	0	0	0	67
16	"Q Gu, P Liu, S Zhu, CH Chu"	Defending against packet injection attacks unreliable ad hoc networks	2005	"Global Telecommunications Conference, 2005. GLOBECOM'05. IEEE 3, 5 pp."			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=327894498105548687	51	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:7PzlFSSx8tAC	0	0	0	0	16
4	"Y Zhang, H Zha, CH Chu, X Ji"	Protein interaction inference as a MAX-SAT problem	2005	IEEE CVPR 2005 Workshop on Computer Vision Methods for Bioinformatics			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15851655529961494052	104	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&cstart=100&pagesize=100&citation_for_view=xdH7WU8AAAAJ:V3AGJWp-ZtQC	0	0	0	0	4
1	"X Zhang, Y., Chu, C. H., Zha, H., Chen, Y. and Ji"	A probabilistic kernel for splice site prediction	2005	"8th Joint Conference on Information Sciences, Salt Lake City, Utah"			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13481693348159818323	132	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&cstart=100&pagesize=100&citation_for_view=xdH7WU8AAAAJ:bnK-pcrLprsC	0	0	1278	1281	1
0	"Q Gu, P Liu, WC Lee, CH Chu"	KTR: an efficient key management scheme for air access control	2005	"Mobile and Ubiquitous Systems: Networking and Services, 2005"	MobiQuitous ...			153	3/9/2017				https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&cstart=100&pagesize=100&citation_for_view=xdH7WU8AAAAJ:uWQEDVKXjbEC	0	0	0	0	0
0	"X Wu, CH Chu, YF Wang, M He, D Yue"	A genetic algorithm for flexible manufacturing cell formation	2005	Eleventh International Fuzzy Systems Association World Congress (IFSA 2005 ...				154	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&cstart=100&pagesize=100&citation_for_view=xdH7WU8AAAAJ:tkaPQYYpVKoC	0	0	0	0	0
